"MOB_ID","MOB_Name","Kategorie","Größe/Variante","Aktiv (Y/N)","Last_Updated","Req_Qty_Total"
"000.0707.0","SEKRETGLAS 1000ml","Atemwege & Ernährung","zu Atmos LC16, Atmolit 16N und Atmolit 26 1000 ml Volumen","","",""
"000.0836.0","Schlauchverbinder DM 6mm","Bandagen & Kompression","zu Atmoport, Atmos LC16, Atmolit 16N und 26 Sekret","","",""
"00-201-010","Biguanid Fläche NR 1000ml","Sonstige medizinische Produkte","1000 ml","","",""
"00-201-050-02","Biguanid Fläche NR 5l","Sonstige medizinische Produkte","5 Liter","","",""
"00-201-100-02","Biguanid Fläche NR 10l","Sonstige medizinische Produkte","10 Liter","","",""
"00-208-D100-01","Cleanisept Wipes","Reinigung & Körperpflege","14 x 20 cm","","",""
"00-208-R100-01","Cleanisept Wipes Nachfüllpack","Reinigung & Körperpflege","14 x 20 cm","","",""
"00-208-RS100-01","Descosept Spezial Wipes","Reinigung & Körperpflege","305 x 320 mm","","",""
"00-235-T100","Cleanisept Wipes Forte Maxi","Reinigung & Körperpflege","20 x 22 cm","","",""
"00-270-020","Ultrasol Oxy 2000ml","Sonstige medizinische Produkte","2000 ml","","",""
"00-270-T108","Ultrasol Oxy Wipes","Reinigung & Körperpflege","","","",""
"00-323DS-005","Descosept Sensitive 500ml","Sonstige medizinische Produkte","500 ml","","",""
"00-323DS-0075-02","Descosept Sensitive 750ml","Sonstige medizinische Produkte","750 ml","","",""
"00-323DS-010","Descosept Sensitive 1000ml","Sonstige medizinische Produkte","1000 ml","","",""
"00-323DS-050","Descosept Sensitive 5000ml","Sonstige medizinische Produkte","5000 ml","","",""
"00-323DS-100","Descosept Sensitive","Sonstige medizinische Produkte","10 L","","",""
"00-323DS-T060","Descosept Sensitive Wipes","Reinigung & Körperpflege","20 cm x 22 cm","","",""
"00-323DS-T100","Descosept Sensitive Wipes","Reinigung & Körperpflege","20 cm x 22 cm","","",""
"00-401-0015-01","Descoderm 150ml Flasche","Zubehör & Verbrauchsmaterial","150 ml","","",""
"00-401-0025","Descoderm 250ml Flasche","Zubehör & Verbrauchsmaterial","250ml","","",""
"00-401-005","Descoderm 500ml Flasche","Zubehör & Verbrauchsmaterial","500ml","","",""
"00-401-010","Descoderm 1000ml Flasche","Zubehör & Verbrauchsmaterial","1000 ml","","",""
"00-403OP-0015-01","Aseptoman 150ml","Sonstige medizinische Produkte","Parfümfrei 150 ml","","",""
"00-403OP-005","Aseptoman 500ml","Sonstige medizinische Produkte","Parfümfrei 500 ml","","",""
"00-403OP-010","Aseptoman 1000ml","Sonstige medizinische Produkte","Parfümfrei 1000 ml","","",""
"00-410-0015","Aseptoman Viral 150ml Flasche","Zubehör & Verbrauchsmaterial","150 ml","","",""
"00-457OP-0015","Aseptoman med 150ml Flasche","Zubehör & Verbrauchsmaterial","150 ml","","",""
"00-457OP-005","Aseptoman med 500ml Flasche","Zubehör & Verbrauchsmaterial","500 ml","","",""
"00-457OP-010","Aseptoman med 1000ml","Sonstige medizinische Produkte","1000ml","","",""
"00-485OP-0015","Aseptoman Forte 150ml","Sonstige medizinische Produkte","150ml","","",""
"00-485OP-005","Aseptoman Forte 500ml","Sonstige medizinische Produkte","500 ml","","",""
"00-602-001-03","Descolind Comfort Light Cream","Reinigung & Körperpflege","Tube 100ml","","",""
"00-602-005-03","Descolind Comfort Light Cream","Reinigung & Körperpflege","Spenderflasche 500 ml","","",""
"00-602DS-001","Descolind Pure Light Cream","Reinigung & Körperpflege","Tube 100 ml","","",""
"00-602DS-005","Descolind Pure Light Cream","Reinigung & Körperpflege","500 ml","","",""
"00-605-005","Desco VitalGel vitalisierendes","Sonstige medizinische Produkte","500 ml","","",""
"00-620HC-001-01","Descolind Expert Light Cream","Reinigung & Körperpflege","Tube 100ml","","",""
"00-620HC-005-01","Descolind Expert Light Cream","Reinigung & Körperpflege","Spenderflasche 500 ml","","",""
"00-622IS-001","Descolind Pure Intensive Cream","Reinigung & Körperpflege","100 ml","","",""
"00-622IS-005","Descolind Pure Intensive Cream","Reinigung & Körperpflege","500 ml","","",""
"00-622OP-001-01","Descolind Expert Intens. Cream","Reinigung & Körperpflege","Tube 100 ml","","",""
"00-623-001-01","Descolind Expert Protect Cream","Reinigung & Körperpflege","Tube 100 ml","","",""
"00-623-005","Descolind Expert Protect Cream","Reinigung & Körperpflege","500 ml","","",""
"00-631OP-005-01","Descolind Pure wash 500ml","Sonstige medizinische Produkte","500 ml","","",""
"00-631OP-010-01","Descolind Pure wash 1000ml","Zubehör & Verbrauchsmaterial","Dosierflasche 1000 ml","","",""
"0082479E","Aqua Spüllösung","Zubehör & Verbrauchsmaterial","Kunststoffflasche 1000 ml","","",""
"00-901-005-01","Wandspender AK 500 Plus","Zubehör & Verbrauchsmaterial","für 500 ml Flaschen","","",""
"00-901-205","Schalenhalter inkl. Schale","Zubehör & Verbrauchsmaterial","","","",""
"00-901-210","Schalenhalter inkl. Schale","Zubehör & Verbrauchsmaterial","","","",""
"00-903-005-01","Wandspender AK 500 Plus","Zubehör & Verbrauchsmaterial","für 500 ml Flaschen","","",""
