"external_id","duplicate_detection","external_name","manufacturer","category","last_update","qty_requested","created_date","source_file","import_date"
"148600","? Unique","Flockenwindeln klein Neugeborene 30x11cm","","Inkontinenzversorgung","","209720","2026-03-05","Product without substitute.csv","2026-05-25"
"309110","? Unique","Einmalspritze 10 ml","","Injektion & Punktion","","192800","","Product without substitute.csv","2026-05-25"
"300928","? Unique","Einmalspritze   2 ml","","Injektion & Punktion","","183400","","Product without substitute.csv","2026-05-25"
"148610","? Unique","Strampelp FloWi 24g P56   Saug1      K4","","Inkontinenzversorgung","","220380","2026-03-05","Product without substitute.csv","2026-05-25"
"309050","? Unique","Einmalspritze   5 ml","","Injektion & Punktion","","144600","","Product without substitute.csv","2026-05-25"
"03120704","? Unique","TORK UNIVERSAL LUNCHSERVIETTE 32,5X32,5cm/1X4000ST.","","Inkontinenz & Hygiene","","128000","","Product without substitute.csv","2026-05-25"
"300296","? Unique","Einmalspritze 20 ml","","Injektion & Punktion","","119600","","Product without substitute.csv","2026-05-25"
"7430","? Unique","Vorlage Samu Maxi Classic 35x11cm (56/224/5376) 7162130","","Inkontinenzversorgung","","102144","","Product without substitute.csv","2026-05-25"
"9166017V","? Unique","Einmaltuberkulinspritze 1 ml o.Kanüle","","Injektion & Punktion","","89700","2026-03-05","Product without substitute.csv","2026-05-25"
"684012","? Unique","Valacomfort multi 30x32cm (Mehrzwecktuch) [54924]","","Inkontinenz & Hygiene","","83350","","Product without substitute.csv","2026-05-25"
"8HY037","? Unique","Flächendesinfektionstuch Bacillol AF (480 Tücher / Karton) 9813115","","Desinfektion & Hygiene","","72480","","Product without substitute.csv","2026-05-25"
"31253-L","? Unique","Bauchtuch steril grün 45x45cm 6f á5","","Kompressen & Tupfer","","70400","2026-03-05","Product without substitute.csv","2026-05-25"
"31201","? Unique","Mullkompr. steril RK 7,5x7,5cm 12f a20","","Kompressen & Tupfer","","51200","","Product without substitute.csv","2026-05-25"
"32016","? Unique","SCHLINGGAZETUPFER 30X40CM.RK A20ST./4X300ST.","","Kompressen & Tupfer","","46800","","Product without substitute.csv","2026-05-25"
"8126","? Unique","OP-Haube Foliodress (100/600) 9924643","","PSA / Schutzkleidung","","43200","","Product without substitute.csv","2026-05-25"
