external_id,duplicate_detection,external_name,manufacturer,category,last_update,qty_requested,source_file,import_date
168404,? Unique,MoliCare Premium Form 4 Tropfen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
744082,? Unique,MoliCare Premium Form 4 Tropfen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
205961,? Unique,Windeln MoliCare Form 4 Tr.  (32) # 168444,,Inkontinenzversorgung,2026-03-04,43520,External Product DB.csv,2026-05-25
1684440,? Unique,"Vorlagen MoliCare Form normal plus, 4 Drops, Pa/32St.",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
14860,? Unique,"Vorlagen MoliCare Form normal plus, 4 Drops, Pa/32St.",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
2132331,? Unique,Kolibri compact SOFT mini ø 2132331 ø IGEFA Handelsges. mbH & Co. KG,,Inkontinenzversorgung,2026-02-26,16268,External Product DB.csv,2026-05-25
168446,? Unique,MoliCare Form 6 Tropfen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
168448,? Unique,MoliCare Form 8 Tropfen ,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
1681670,? Unique,MoliCare? Premium Form +SIZE 8D 8 Tropfen [54190],,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
168100,? Unique,MoliCare Pad 2 Tropfen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
101800,? Unique,MoliCare Pad 2 Tropfen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
168076,? Unique,MoliCare Pad 3 Tr,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
674260,? Unique,MoliCare Pad 3 Tr,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
168101,? Unique,MoliCare Pad (3 Tr.),,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
200042,? Unique,Windeln MoliCare Pad 3 Tr. Midi (30) # 168076,,Inkontinenzversorgung,2026-03-04,29088,External Product DB.csv,2026-05-25
1680760,? Unique,MoliCare Pad 3 Tropfen [20407],,Inkontinenzversorgung,2026-02-26,2364,External Product DB.csv,2026-05-25
11592,? Unique,MoliCare Pad 3 Tropfen [20407],,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
168077,? Unique,MoliCare Pad 4 Tropfen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
126213,? Unique,Windeln MoliCare Pad 4 Tr. Maxi  # 168077,,Inkontinenzversorgung,2026-03-04,20592,External Product DB.csv,2026-05-25
2117265,? Unique,Kolibri comfort SOFT maxi ø 2117265 ø IGEFA Handelsges. mbH & Co. KG,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
168600,? Unique,MoliCare Premium MEN PAD (2 Tr.),,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
126214,? Unique,Windeln MoliCare P MEN Pad 2 Tr.  (14) # 168067,,Inkontinenzversorgung,2026-03-04,504,External Product DB.csv,2026-05-25
8RK025,? Unique,Erw.-Einlage MoliMed Protect for men (14/168/1680) 1687058 #F1006,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
160890,? Unique,MoliCare Rectangular 3Tr 20x40,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
160892,? Unique,MoliCare Rectangular 4Tr 20x60,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915833,? Unique,Molicare Mobile Gr3 large P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915832,? Unique,Molicare Premium Mobile 6 Tropfen M [22029],,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915834,? Unique,Molicare Premium Mobile 6 Tropfen XL [22045],,Inkontinenzversorgung,2026-02-26,2072,External Product DB.csv,2026-05-25
915853,? Unique,MoliCare Prem. Mobile 5d L P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915852,? Unique,MoliCare Prem. Mobile 5d M P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915854,? Unique,MoliCare Prem. Mobile 5d XL P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915840,? Unique,Molicare Mobile XS,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915725,? Unique,MoliCare Pants 8 Tropfen Gr. L ,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915720,? Unique,"MoliCare Pants 8 Tropfen, Gr. M ",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915831,? Unique,Molicare Mobile small,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
169190,? Unique,"MoliCare Slip 6 Tropfen Gr. XS, 4x30St",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
165132,? Unique,MoliCare Slip extra M 5-Tropfen 3x30St,,Inkontinenzversorgung,2026-02-26,17310,External Product DB.csv,2026-05-25
165133,? Unique,MoliCare Slip extra 5-Tropfen L large,,Inkontinenzversorgung,2026-02-26,33300,External Product DB.csv,2026-05-25
165134,? Unique,MoliCare Slip extra 5-Tropfen XL,,Inkontinenzversorgung,2026-02-26,2072,External Product DB.csv,2026-05-25
169091,? Unique,"MoliCare Slip 5 Tropfen Gr. S, 4x30St",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
165332,? Unique,MoliCare Slip super M medium,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
165333,? Unique,MoliCare Slip super L large 3x30St,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
165234,? Unique,MoliCare Slip extra plus XL 4x14St,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
165573,? Unique,MoliCare P Elastic 9Tr L,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
947791,? Unique,"Molipants 2000 P50 Medium / MoliCare Premium Fixpants long leg, Gr. M ",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
947790,? Unique,"MoliCare Premium Fixpants long leg, Gr. S ",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
947747,? Unique,"Fixpants short leg,Gr.XL",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
947793,? Unique,"MoliCare Premium Fixpants long leg, Gr. XL ",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
947794,? Unique,"MoliCare Premium Fixpants long leg, Gr. XXL ",,Inkontinenzversorgung,2026-02-26,100,External Product DB.csv,2026-05-25
947792,? Unique,"MoliCare Premium Fixpants long leg, Gr. L",,Inkontinenzversorgung,2026-02-26,2175,External Product DB.csv,2026-05-25
159001,? Unique,MoliCare Bed Mat Eco 5 Tropfen 40x60 [20271],,Inkontinenzversorgung,2026-02-26,81150,External Product DB.csv,2026-05-25
161067,? Unique,MoliCare Premium Bed Mat 7 Tropfen 40x60cm,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
161069,? Unique,MoliCare Premium Bed Mat 7 Tropfen 60x60cm,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
161063,? Unique,MoliCare Premium Bed Mat 5 Tropfen 60x60,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
159002,? Unique,MoliCare Bed Mat Eco 5 Tropfen 60x90,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
7046.S,? Unique,Dri-Flo Krankenunterlagen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
58272,? Unique,MoliCare Rectangular 3Tr 20x40,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
80327,? Unique,Molicare Mobile Gr3 large P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
357347,? Unique,Molicare Premium Mobile 6 Tropfen M [22029],,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
271560,? Unique,Molicare Premium Mobile 6 Tropfen XL [22045],,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
455585,? Unique,MoliCare Prem. Mobile 5d L P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
734323,? Unique,MoliCare Prem. Mobile 5d M P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
263153,? Unique,Molicare Mobile XS,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
263155,? Unique,Molicare Mobile small,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
641791,? Unique,"MoliCare Slip 6 Tropfen Gr. XS, 4x30St",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
7389,? Unique,MoliCare Slip extra M 5-Tropfen 3x30St,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
7390,? Unique,MoliCare Slip extra 5-Tropfen L large,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
7392,? Unique,MoliCare Slip extra 5-Tropfen XL,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
641792,? Unique,"MoliCare Slip 5 Tropfen Gr. S, 4x30St",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
7519,? Unique,MoliCare Slip super L large 3x30St,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
7393,? Unique,MoliCare Slip extra plus XL 4x14St,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
639304,? Unique,MoliCare P Elastic 9Tr L,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
58571,? Unique,Molipants 2000 P50 Medium,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
368351,? Unique,MoliPants soft Gr. S,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
58568,? Unique,"Fixpants short leg,Gr.XL",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
58572,? Unique,MoliPants 2000 XXL,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
362701,? Unique,"MoliCare Premium Fixpants long leg, Gr. L",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
5164,? Unique,MoliCare Bed Mat Eco 5 Tropfen 40x60 [20271],,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
4574,? Unique,MoliCare Premium Bed Mat 5 Tropfen 60x60,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
35648,? Unique,MoliCare Bed Mat Eco 5 Tropfen 60x90,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
91285,? Unique,Dri-Flo Krankenunterlagen,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
4578,? Unique,MoliCare Premium Bed Mat 7 Tropfen 40x60,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915705,? Unique,MoliCare Pants 6 Tropfen Gr. L ,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915655,? Unique,"MoliCare Pants 6 Tropfen, Gr. M ",,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915715,? Unique,MoliCare Pants 6 Tropfen Gr. XL,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
9158335,? Unique,MoliCare Pants Gr.L 9158335 (6 Tropfen),,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
9158325,? Unique,MoliCare Pants Gr. M 9158325 (6 Tropfen),,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
915861,? Unique,MoliCare Prem. Mobile 5d S P14,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
165131,? Unique,MoliCare Slip extra S small,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
134925,? Unique,Windeln Erwachsene mittel    (30) # 165132,,Inkontinenzversorgung,2026-03-04,25920,External Product DB.csv,2026-05-25
134926,? Unique,Windeln Erwachsene groá (30) # 165133,,Inkontinenzversorgung,2026-03-04,61200,External Product DB.csv,2026-05-25
127628,? Unique,Windeln Erwachsene XL (14) # 165134,,Inkontinenzversorgung,2026-03-04,5600,External Product DB.csv,2026-05-25
947746,? Unique,Netzh”schen L (groá),,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
7472,? Unique,Krankenunterlage MoliCare Bed Mat Eco 40x60cm 6-lag. (300/6000) 1590011,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
100047,? Unique,Krankenunterlage 40 x 60 (grn) Bet Mat (30) # 161067,,Inkontinenzversorgung,2026-03-04,194400,External Product DB.csv,2026-05-25
161065,? Unique,MoliCare Premium Bed Mat 5 Tropfen 60x90cm,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
161071,? Unique,MoliCare Premium Bad Mat 7 Tropfen 60x90 [20172],,Inkontinenzversorgung,2026-02-26,22440,External Product DB.csv,2026-05-25
1590010,? Unique,Bettunterlagen 40x60 8l 1590010,,Inkontinenzversorgung,,,External Product DB.csv,2026-05-25
1610650,? Unique,Bettunterlagen Plus L 60x90  1610650,,Inkontinenzversorgung,2026-02-26,30,External Product DB.csv,2026-05-25
